n,t,GrossOutput,Expenditure,IntermediateUse,FinalExpenditure,ValueAdded,Deficit,GrossOutputManuf,ExpenditureManuf,IntermediateUseManuf,FinalExpenditureManuf,ValueAddedManuf,DeficitManuf,α,β
AUS,2000,795738.2282760699,789042.5571592138,409870.23152754793,379172.3256316637,385867.9967485219,6695.671116858197,158044.84833894917,179073.12835077415,112863.97036213244,66209.15798864151,45180.87797681673,21028.280011824972,0.17461495344720526,0.2858737785613869
AUS,2001,758249.7409723256,752787.350736973,391365.37602023786,361421.9747167432,366884.3649520877,5462.390235344472,143741.37552281696,163297.10514537894,103238.0624103046,60059.042735074014,40503.31311251236,19555.72962256198,0.1661742974597602,0.2817790838942057
AUS,2002,846925.503179067,849880.4890777057,438528.9329620588,411351.5561156471,408396.57021700824,-2954.9858986388426,164321.41361279372,192563.17781584585,121340.10084805024,71223.07696779557,42981.31276474349,28241.764203052124,0.17314405624315168,0.2615685431359815
AUS,2003,1.1001336266553092e6,1.107475692684721e6,573368.2051047408,534107.4875799821,526765.4215505684,-7342.06602941372,213953.96226975278,248642.82216413325,156903.62848061643,91739.19368351599,57050.33378913635,34688.85989438047,0.17176166935832016,0.26664770861876996
AUS,2004,1.3298867377236716e6,1.3390537608382462e6,690193.2060786545,648860.554759596,639693.5316450171,-9167.023114578915,245260.09092589424,290759.9175020227,181103.6783230921,109656.2391789303,64156.41260280213,45499.82657612846,0.16899815896430648,0.2615852108698235
AUS,2005,1.4842663538297839e6,1.4869936923809587e6,764640.6276932714,722353.0646876914,719625.7261365125,-2727.338551178924,263633.8858221079,318141.2877499357,197677.00840034982,120464.27934958602,65956.87742175808,54507.4019278278,0.16676648198574284,0.2501836105631116
AUS,2006,1.5882253253499707e6,1.5895286455207644e6,813968.821312474,775559.8242082847,774256.5040374968,-1303.320170787978,265840.5163786195,322664.2856906623,196924.76613202324,125739.5195586408,68915.75024659623,56823.7693120428,0.16212742799950933,0.25923719674259127
AUS,2007,1.9177336619740136e6,1.9282134818314034e6,981797.2936711201,946416.1881602816,935936.3683028935,-10479.819857388153,317792.81641400186,387384.0138604209,231979.01712457067,155404.9967358519,85813.79928943119,69591.19744641904,0.16420365445982107,0.27003064530457477
AUS,2008,2.097357721448371e6,2.0796361788443543e6,1.0685445859476258e6,1.0110915928967221e6,1.0288131355007454e6,17721.54260402324,324470.28330104466,407585.6658830557,251495.75250153735,156089.9133815183,72974.53079950731,83115.38258201105,0.1543776196717542,0.2249035876478133
AUS,2009,1.9865230152706609e6,1.9818599488018865e6,1.0099574399718443e6,971902.5088300379,976565.5752988165,4663.066468778648,294316.82726720243,375566.094469778,230657.37638604944,144908.71808372895,63659.450881152996,81249.26720257557,0.14909799775922788,0.21629565482967875
AUS,2010,2.484151783508985e6,2.452836302253596e6,1.2484641463127213e6,1.2043721559408575e6,1.2356876371962635e6,31315.481255406048,340770.3935781555,438820.6562795663,263088.83796452585,175731.8183150412,77681.55561362964,98050.2627014108,0.14591155852300422,0.22795864041461517
AUS,2011,2.9312077514967048e6,2.9140746275893115e6,1.4615550272216927e6,1.452519600367618e6,1.469652724275012e6,17133.12390739401,380291.2859713807,517392.8493964432,305757.51557846204,211635.33381798104,74533.77039291867,137101.56342506252,0.14570222237580702,0.19599126549149432
AUS,2012,2.9624853651999477e6,2.961444487445825e6,1.457049058736412e6,1.504395428709427e6,1.5054363064635356e6,1040.8777541087475,360338.2471999983,497674.5827442338,289322.4794019806,208352.1033422549,71015.76779801771,137336.33554423548,0.1384955706233391,0.1970808493126789
AUS,2013,2.8741557562199812e6,2.862166819316923e6,1.4132916725710563e6,1.448875146745875e6,1.460864083648925e6,11988.936903049937,336111.95888999995,474654.3776929712,286184.7652611794,188469.61243179135,49927.19362882053,138542.41880297125,0.13007995399402617,0.1485433419081655
AUS,2014,2.7237372166862153e6,2.7255653649551165e6,1.3393620002885116e6,1.3862033646665928e6,1.3843752163977036e6,-1828.1482688891701,316053.0210502156,451306.7570734614,272862.75977645844,178443.9972970029,43190.26127375715,135253.73602324584,0.12872858474118762,0.13665511289922122
AUT,2000,334335.2570399964,331234.2948845269,152727.47942661095,178506.81545791647,181607.77761338543,3100.9621554689656,93759.16163999986,91898.57417289163,52909.045279281134,38989.52889361087,40850.116360718726,-1860.5874671082274,0.21842039360565912,0.43569199687991994
AUT,2001,339350.1839200011,335403.5945740084,157204.1740789049,178199.4204951033,182146.00984109618,3946.589345992892,96001.06564000035,92869.00507748289,54229.858952837174,38639.146124645544,41771.206687163176,-3132.060562517465,0.21683093029871722,0.43511190640115716
AUT,2002,368345.61983999953,360482.3824813889,170856.53995396337,189625.84252742733,197489.07988603617,7863.237358608836,102595.14144000002,96140.96395239254,57105.083457789144,39035.880494603254,45490.05798221088,-6454.177487607478,0.2058573872332677,0.4433938814618673
AUT,2003,454301.6844799954,446918.94801362563,212731.62371203693,234187.324301587,241570.06076795846,7382.736466371454,123300.7999999996,116797.4630148328,68988.90386985982,47808.559144972576,54311.89613013978,-6503.336985166796,0.2041466560478935,0.4404829176302178
AUT,2004,527502.2900700003,518554.1044310238,250173.84674793493,268380.2576830897,277328.4433220654,8948.185638975701,147168.04802000013,139051.25068210985,83823.3664199845,55227.88426212555,63344.68160001564,-8116.7973378902825,0.20578221639290642,0.4304241474440641
